Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1210_3225Metric,144.202433,-77.485481,-135.0,top
C22,100µF,C_1210_3225Metric,177.525417,-85.5225,-45.0,top
C23,100nF,C_0402_1005Metric,175.747917,-94.2,180.0,top
C25,100nF,C_0402_1005Metric,143.815417,-82.3925,0.0,top
C26,10uF,C_0805_2012Metric,138.225417,-88.4925,-90.0,top
C27,1uF,C_0402_1005Metric,131.275417,-92.9825,-90.0,top
C28,1uF,C_0603_1608Metric,136.755417,-98.6725,-45.0,top
C29,2.2uF,C_0603_1608Metric,143.745417,-91.7125,180.0,top
D1,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,175.83,-89.88,90.0,top
D10,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,162.085,-116.204,0.0,top
D11,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,170.84,-110.664967,45.0,top
D12,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,175.785417,-100.6525,90.0,top
D13,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,166.22,-95.3125,180.0,top
D14,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,161.260451,-105.9025,-90.0,top
D15,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,149.105417,-105.7225,90.0,top
D16,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,143.19,-95.33,90.0,top
D17,BAT54C,SOT-23,140.065417,-83.7825,0.0,top
D18,BAT54J,D_SOD-323F,143.505417,-98.8025,135.0,top
D19,BAT54J,D_SOD-323F,178.312917,-94.0525,180.0,top
D2,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,170.825417,-79.7925,135.0,top
D20,IR26-21C_L110_TR8,LED_1206_3216Metric,157.50542,-90.652501,180.0,top
D21,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,149.39,-84.83,90.0,top
D22,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,161.165417,-84.7925,-90.0,top
D3,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,162.24,-74.52,90.0,top
D4,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,147.945417,-74.4925,-90.0,top
D5,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,139.9,-79.77,-135.0,top
D6,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,134.71,-89.91,-90.0,top
D7,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,135.105417,-100.4625,-45.0,top
D8,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,139.534834,-110.803083,-45.0,top
D9,WS2812B,LED-SMD_6P-L2.2-W2.0_WS2816B-2020,148.35,-116.114967,0.0,top
F1,Polyfuse 1500mA,F0805,172.575417,-89.7425,-90.0,top
J10,USB C power only,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,155.155417,-70.6425,180.0,top
Q1,AO3400A,SOT-23,161.225416,-88.9125,90.0,top
R1,5k1,R_0402_1005Metric,157.025417,-74.3825,0.0,top
R11,100R,R_0402_1005Metric,150.835417,-78.6925,90.0,top
R12,38R,R_0402_1005Metric,164.305417,-86.3425,0.0,top
R13,100k,R_0402_1005Metric,163.765417,-87.832498,90.0,top
R14,100R,R_0402_1005Metric,164.795417,-87.8325,-90.0,top
R18,200k,R_0402_1005Metric,142.365417,-83.8125,-90.0,top
R19,10k,R_0402_1005Metric,135.735417,-92.6625,0.0,top
R2,5k1,R_0402_1005Metric,153.345417,-74.3825,0.0,top
R20,10k,R_0402_1005Metric,134.195417,-94.0725,-90.0,top
R21,6.34k,R_0402_1005Metric,145.915417,-82.3125,180.0,top
R22,22.1k,R_0402_1005Metric,145.065417,-80.0425,-135.0,top
R23,10k,R_0402_1005Metric,162.545417,-94.3925,90.0,top
R25,0R,R_0402_1005Metric,131.285418,-85.7025,90.0,top
R26,0R,R_0402_1005Metric,169.695417,-82.3625,45.0,top
R3,R470,R_0402_1005Metric,175.815417,-92.6525,-90.0,top
R4,100k,R_0402_1005Metric,179.167916,-96.250001,90.0,top
TH1,BatProt,R_0805_2012Metric,155.032917,-74.9125,180.0,bottom
U2,BMA253,LGA-12,148.455415,-95.8925,-90.0,top
U3,TPS22917LDBV,SOT-23-6,176.417917,-96.762501,90.0,top
U5,VEML3328,VEML3328,168.795417,-91.3525,90.0,top
U7,MP2667,QFN-10_2x2mm_P0.5mm,144.985417,-86.6725,-90.0,top
U8,BQ27421-G1,BGA-9_1.6x1.6mm_Layout3x3_P0.5mm,135.755417,-94.8725,-90.0,top
