Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,10µF,
C22,1210,1,100µF,
C23,0402,1,100n,
C25,0402,1,0.1uF,
C26,0805,1,10uF,
C27,0402,1,1uF,
C28,0603,1,1uF,
C29,0603,1,2.2uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D21, D22, D3, D4, D5, D6, D7, D8, D9",LED-SMD_6P-L2.2-W2.0_WS2816B-2020,18,WS2812B,
D17,SOT-23,1,BAT54C,
"D18, D19",D_SOD-323F,2,BAT54J,
D20,1206,1,IR26-21C_L110_TR8,
F1,1812,1,Polyfuse 1500mA,
J10,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB C power only,
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,WS2812_ext,
J7,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,DevSide,
Q1,SOT-23,1,AO3400A,
"R1, R2",0402,2,5k1,
"R11, R14",0402,2,100R,
R12,0402,1,38R,
"R13, R4",0402,2,100k,
R18,0402,1,200k,
"R19, R20, R23",0402,3,10k,
"R21, R22",0402,2,100k tbd,
"R25, R26",0402,2,0R,
R3,0402,1,R470,
TH1,0805,1,BatProt,
U2,LGA-12,1,BMA253,
U3,SOT-23-6,1,TPS22917LDBV,
U4,rysta,1,rysta,
U5,VEML3328,1,VEML3328,
U7,QFN-10_2x2mm_P0.5mm,1,MP2667,
U8,BGA-9_1.6x1.6mm_Layout3x3_P0.5mm,1,BQ27421-G1,
